Reference,Verses,Words,Wd/Vs,Time (150 WPM),Time (200 WPM),Time (250 WPM)
Isaiah 59,21,590,28.1,3m 56s,2m 57s,2m 21s
Isaiah 60,22,665,30.2,4m 26s,3m 19s,2m 39s
Isaiah 61,11,380,34.5,2m 32s,1m 54s,1m 31s
Isaiah 62,12,362,30.2,2m 24s,1m 48s,1m 26s
Isaiah 63,19,538,28.3,3m 35s,2m 41s,2m 9s
Isaiah 64,12,308,25.7,2m 3s,1m 32s,1m 13s
Isaiah 65,25,753,30.1,5m 1s,3m 45s,3m 0s
Isaiah 66,24,811,33.8,5m 24s,4m 3s,3m 14s
Jeremiah 1,19,528,27.8,3m 31s,2m 38s,2m 6s
Jeremiah 2,37,1019,27.5,6m 47s,5m 5s,4m 4s
Jeremiah 3,25,802,32.1,5m 20s,4m 0s,3m 12s
Jeremiah 4,31,861,27.8,5m 44s,4m 18s,3m 26s
Jeremiah 5,31,874,28.2,5m 49s,4m 22s,3m 29s
Jeremiah 6,30,827,27.6,5m 30s,4m 8s,3m 18s
Jeremiah 7,34,970,28.5,6m 28s,4m 51s,3m 52s
Jeremiah 8,22,706,32.1,4m 42s,3m 31s,2m 49s
Jeremiah 9,26,772,29.7,5m 8s,3m 51s,3m 5s
Jeremiah 10,25,674,27.0,4m 29s,3m 22s,2m 41s
Jeremiah 11,23,749,32.6,4m 59s,3m 44s,2m 59s
Jeremiah 12,17,544,32.0,3m 37s,2m 43s,2m 10s
Jeremiah 13,27,739,27.4,4m 55s,3m 41s,2m 57s
Jeremiah 14,22,688,31.3,4m 35s,3m 26s,2m 45s
Jeremiah 15,21,702,33.4,4m 40s,3m 30s,2m 48s
Jeremiah 16,21,699,33.3,4m 39s,3m 29s,2m 47s
