Reference,Verses,Words,Wd/Vs,Time (150 WPM),Time (200 WPM),Time (250 WPM)
2 Kings 7,20,784,39.2,5m 13s,3m 55s,3m 8s
2 Kings 8,29,935,32.2,6m 14s,4m 40s,3m 44s
2 Kings 9,37,1172,31.7,7m 48s,5m 51s,4m 41s
2 Kings 10,36,1179,32.8,7m 51s,5m 53s,4m 42s
2 Kings 11,21,712,33.9,4m 44s,3m 33s,2m 50s
2 Kings 12,21,690,32.9,4m 36s,3m 27s,2m 45s
2 Kings 13,25,771,30.8,5m 8s,3m 51s,3m 5s
2 Kings 14,29,859,29.6,5m 43s,4m 17s,3m 26s
2 Kings 15,38,1104,29.1,7m 21s,5m 31s,4m 24s
2 Kings 16,20,658,32.9,4m 23s,3m 17s,2m 37s
2 Kings 17,41,1226,29.9,8m 10s,6m 7s,4m 54s
2 Kings 18,37,1181,31.9,7m 52s,5m 54s,4m 43s
2 Kings 19,37,1079,29.2,7m 11s,5m 23s,4m 18s
2 Kings 20,21,652,31.0,4m 20s,3m 15s,2m 36s
2 Kings 21,26,753,29.0,5m 1s,3m 45s,3m 0s
2 Kings 22,20,696,34.8,4m 38s,3m 28s,2m 47s
2 Kings 23,37,1433,38.7,9m 33s,7m 9s,5m 43s
2 Kings 24,20,573,28.6,3m 49s,2m 51s,2m 17s
2 Kings 25,30,945,31.5,6m 18s,4m 43s,3m 46s
1 Chronicles 1,54,582,10.8,3m 52s,2m 54s,2m 19s
1 Chronicles 2,55,744,13.5,4m 57s,3m 43s,2m 58s
1 Chronicles 3,24,308,12.8,2m 3s,1m 32s,1m 13s
1 Chronicles 4,43,744,17.3,4m 57s,3m 43s,2m 58s
1 Chronicles 5,26,594,22.8,3m 57s,2m 58s,2m 22s
1 Chronicles 6,81,1140,14.1,7m 36s,5m 42s,4m 33s
1 Chronicles 7,40,695,17.4,4m 38s,3m 28s,2m 46s
1 Chronicles 8,40,419,10.5,2m 47s,2m 5s,1m 40s
1 Chronicles 9,44,871,19.8,5m 48s,4m 21s,3m 29s
1 Chronicles 10,14,354,25.3,2m 21s,1m 46s,1m 24s
1 Chronicles 11,47,926,19.7,6m 10s,4m 37s,3m 42s
1 Chronicles 12,40,837,20.9,5m 34s,4m 11s,3m 20s
